"Timestamp","Turbine","Blade3 Actual","Rotor Speed","State","Nacelle Position","Active Power","Air Temperature","Wind Speed","Blade1 Actual","Blade2 Actual"
"2020-03-11T00:00:00Z","GE01",-0.11147802,15.482932,16,304.809,393.81445,57.54779,6.9476624,-0.543748,-0.5085606
"2020-03-11T00:00:05Z","GE01",-0.11042475,15.28435,16,304.7951,372.3854,57.546467,6.284053,-0.54354864,-0.50837123
"2020-03-11T00:00:10Z","GE01",-0.10937147,15.085769,16,304.7812,350.95633,57.545143,7.451566,-0.54334927,-0.5081818
"2020-03-11T00:00:15Z","GE01",-0.108318195,14.887187,16,304.7673,343.52908,57.54382,6.320222,-0.5431499,-0.50799245
"2020-03-11T00:00:20Z","GE01",-0.10726491,14.688605,16,304.7534,357.10458,57.542492,7.541894,-0.5429506,-0.507803
"2020-03-11T00:00:25Z","GE01",-0.10621164,14.537606,16,304.7395,370.68005,57.54117,8.345091,-0.5427512,-0.50761366
"2020-03-11T00:00:30Z","GE01",-0.105158366,14.5769415,16,304.72562,384.25552,57.539845,8.182141,-0.5425518,-0.50742424
"2020-03-11T00:00:35Z","GE01",-0.104105085,14.616278,16,304.7117,397.831,57.53852,8.508977,-0.54235244,-0.5072349
"2020-03-11T00:00:40Z","GE01",-0.10305181,14.655613,16,304.6978,371.48044,57.537193,7.012739,-0.5421531,-0.50704545
"2020-03-11T00:00:45Z","GE01",-0.10199853,14.694948,16,304.6839,353.4,57.53587,7.0703225,-0.54195374,-0.5068561
"2020-03-11T00:00:50Z","GE01",-0.10094526,14.734283,16,304.67,368.40002,57.534546,6.721668,-0.54175436,-0.50666666
"2020-03-11T00:00:55Z","GE01",-0.09989198,14.77362,16,304.6561,394.2,57.533222,7.423433,-0.541555,-0.5064773
"2020-03-11T00:01:00Z","GE01",-0.0988387,14.812955,16,304.6422,405.43518,57.531895,6.6366854,-0.54135567,-0.5062879
"2020-03-11T00:01:05Z","GE01",-0.09778543,14.85229,16,304.6283,384.02316,57.53057,6.651599,-0.5411563,-0.5060985
"2020-03-11T00:01:10Z","GE01",-0.09673215,14.827884,16,304.6144,362.6111,57.529247,7.200609,-0.5409569,-0.5059091
"2020-03-11T00:01:15Z","GE01",-0.09567887,14.5485115,16,304.6005,341.19907,57.527924,7.045434,-0.5407576,-0.5057197
"2020-03-11T00:01:20Z","GE01",-0.0946256,14.269139,16,304.5866,319.78705,57.526596,6.44397,-0.5405582,-0.5055303
"2020-03-11T00:01:25Z","GE01",-0.09357232,13.989767,16,304.5727,294.8889,57.525272,6.900641,-0.54035884,-0.50534093
"2020-03-11T00:01:30Z","GE01",-0.092519045,13.710396,16,304.5588,267.66666,57.52395,5.867664,-0.54015946,-0.5051515
"2020-03-11T00:01:35Z","GE01",-0.091465764,13.431024,16,304.5449,240.44444,57.522625,5.6080117,-0.53996015,-0.50496215
"2020-03-11T00:01:40Z","GE01",-0.09041249,13.151651,16,304.531,247.15384,57.521297,6.6340933,-0.53976077,-0.5047727
"2020-03-11T00:01:45Z","GE01",-0.08935922,13.233566,16,304.5171,262.34616,57.519974,7.597414,-0.5395614,-0.50458336
"2020-03-11T00:01:50Z","GE01",-0.088305935,13.405804,16,304.5032,277.53845,57.51865,7.159003,-0.539362,-0.50439394
"2020-03-11T00:01:55Z","GE01",-0.08725266,13.578041,16,304.4893,292.73077,57.517326,6.640109,-0.5391627,-0.5042046
"2020-03-11T00:02:00Z","GE01",-0.08619938,13.750278,16,304.4754,307.92307,57.516,6.979335,-0.5389633,-0.50401515
"2020-03-11T00:02:05Z","GE01",-0.08514611,13.922516,16,304.4615,329.625,57.514675,7.922709,-0.53876394,-0.5038258
"2020-03-11T00:02:10Z","GE01",-0.08409283,14.094753,16,304.4476,327.75,57.51335,6.949428,-0.53856456,-0.50363636
"2020-03-11T00:02:15Z","GE01",-0.08303955,14.266991,16,304.4337,325.875,57.512028,6.580325,-0.53836524,-0.503447
"2020-03-11T00:02:20Z","GE01",-0.08198628,14.439227,16,304.4198,324,57.5107,7.26115,-0.53816587,-0.5032576
"2020-03-11T00:02:25Z","GE01",-0.080933,14.6114645,16,304.40588,322.125,57.509377,6.43373,-0.5379665,-0.5030682
"2020-03-11T00:02:30Z","GE01",-0.07987972,14.783702,16,304.392,348.75,57.508053,7.613205,-0.5377671,-0.5028788
"2020-03-11T00:02:35Z","GE01",-0.07882645,15.250972,16,304.37808,404.0909,57.50673,8.830481,-0.5375678,-0.5026894
"2020-03-11T00:02:40Z","GE01",-0.07777317,15.792001,16,304.3642,491.81818,57.505405,8.772289,-0.5373684,-0.5025
"2020-03-11T00:02:45Z","GE01",-0.076719895,16.333029,16,304.3503,567.8408,57.504078,9.035303,-0.53716904,-0.50231063
"2020-03-11T00:02:50Z","GE01",-0.075666614,16.874056,16,304.3364,597.0449,57.502754,8.521166,-0.53696966,-0.5021212
"2020-03-11T00:02:55Z","GE01",-0.07461334,17.415085,16,304.3225,609.9143,57.50143,7.553442,-0.53677034,-0.50193185
"2020-03-11T00:03:00Z","GE01",-0.07356007,17.696032,16,304.3086,618.7,57.500107,7.525977,-0.53657097,-0.5017424
"2020-03-11T00:03:05Z","GE01",-0.072506785,17.97698,16,304.2947,627.4857,57.49878,8.481398,-0.5363716,-0.50155306
"2020-03-11T00:03:10Z","GE01",-0.07145351,18.257927,16,304.2808,685,57.497456,8.989154,-0.5361722,-0.50136364
"2020-03-11T00:03:15Z","GE01",-0.07040023,18.475029,16,304.2669,731.8,57.49613,9.354596,-0.5359729,-0.5011743
"2020-03-11T00:03:20Z","GE01",-0.06934696,18.436752,16,304.253,767.8,57.49481,8.642733,-0.5357735,-0.50098485
"2020-03-11T00:03:25Z","GE01",-0.06829368,18.398474,16,304.2391,803.8,57.49348,9.135998,-0.53557414,-0.5007955
"2020-03-11T00:03:30Z","GE01",-0.0672404,18.360197,16,304.2252,792,57.492157,7.502115,-0.5353748,-0.50060606
"2020-03-11T00:03:35Z","GE01",-0.06618713,18.321918,16,304.2113,728.25,57.490833,8.409039,-0.53517544,-0.5004167
"2020-03-11T00:03:40Z","GE01",-0.06513385,18.283642,16,304.1974,664.5,57.48951,7.512633,-0.53497607,-0.5002273
"2020-03-11T00:03:45Z","GE01",-0.06408057,18.110071,16,304.19568,643.2,57.488182,8.584282,-0.5347767,-0.5000379
"2020-03-11T00:03:50Z","GE01",-0.0630273,17.936502,16,304.20212,631,57.48686,8.733974,-0.53457737,-0.49984848
"2020-03-11T00:03:55Z","GE01",-0.06197402,17.762932,16,304.20853,616,57.485535,7.750258,-0.534378,-0.4996591
