"Timestamp","Turbine","Blade1 Actual","Blade2 Actual","Blade3 Actual","Rotor Speed","State","Active Power","Nacelle Position","Air Temperature","Wind Speed"
"2020-03-11T00:00:00Z","GE01",-0.543748,-0.5085606,-0.11147802,15.482932,16,393.81445,304.809,57.54779,6.9476624
"2020-03-11T00:01:00Z","GE01",-0.54135567,-0.5062879,-0.0988387,14.812955,16,405.43518,304.6422,57.531895,6.6366854
"2020-03-11T00:02:00Z","GE01",-0.5389633,-0.50401515,-0.08619938,13.750278,16,307.92307,304.4754,57.516,6.979335
"2020-03-11T00:03:00Z","GE01",-0.53657097,-0.5017424,-0.07356007,17.696032,16,618.7,304.3086,57.500107,7.525977
"2020-03-11T00:04:00Z","GE01",-0.5341786,-0.4994697,-0.060920745,17.967062,16,641,304.21494,57.48421,8.931692
"2020-03-11T00:05:00Z","GE01",-0.53178626,-0.49719697,-0.048281424,14.665382,16,369.75,304.292,57.468315,7.2064657
"2020-03-11T00:06:00Z","GE01",-0.5293939,-0.49492425,-0.035642102,16.251783,16,478.8,304.36905,57.45242,6.801806
"2020-03-11T00:07:00Z","GE01",-0.52700156,-0.49265152,-0.023002783,17.437292,16,657.55,304.44608,57.436523,8.190707
"2020-03-11T00:08:00Z","GE01",-0.52460927,-0.4903788,-0.010363462,19.132862,16,871.6667,304.52313,57.420628,9.397439
"2020-03-11T00:09:00Z","GE01",-0.5222169,-0.48810607,0.0022758574,17.187315,16,563.4923,304.6002,57.40473,7.469274
"2020-03-11T00:10:00Z","GE01",-0.51982456,-0.48583335,0.014915178,17.507158,16,616.4167,304.67725,57.388836,8.385828
"2020-03-11T00:11:00Z","GE01",-0.5174322,-0.48356062,0.027554497,15.039915,16,358.69983,304.75427,57.37294,7.107357
"2020-03-11T00:12:00Z","GE01",-0.51503986,-0.4812879,0.04019382,15.584111,16,420,304.83133,57.357044,7.4187655
"2020-03-11T00:13:00Z","GE01",-0.5126475,-0.47901517,0.05283314,15.537004,16,465.33334,304.9084,57.34115,9.056112
"2020-03-11T00:14:00Z","GE01",-0.51025516,-0.47674242,0.06547246,15.217642,16,465.4,304.9854,57.325253,7.914674
"2020-03-11T00:15:00Z","GE01",-0.5078628,-0.4744697,0.078111775,18.417603,16,668.125,305.06247,57.309357,9.064996
"2020-03-11T00:16:00Z","GE01",-0.5054705,-0.47219697,0.0907511,18.88317,16,836,305.13953,57.29346,9.354413
"2020-03-11T00:17:00Z","GE01",-0.50307816,-0.46992424,0.10339042,19.937363,16,1025,305.21655,57.277565,10.39228
"2020-03-11T00:18:00Z","GE01",-0.5006858,-0.46765152,0.10534428,19.595356,16,1048,305.2936,57.26167,10.257415
"2020-03-11T00:19:00Z","GE01",-0.49829346,-0.4653788,0.084240034,19.281563,16,1150,305.29858,57.245773,10.664617
"2020-03-11T00:20:00Z","GE01",-0.4959011,-0.46310607,0.063135795,18.698137,16,806.07404,305.2521,57.229877,9.055866
"2020-03-11T00:21:00Z","GE01",-0.49350876,-0.46083334,0.04203155,19.523144,16,1014,305.2056,57.21398,10.535706
"2020-03-11T00:22:00Z","GE01",-0.49111643,-0.45856062,0.020927308,19.937809,16,840,305.15912,57.19809,8.929344
"2020-03-11T00:23:00Z","GE01",-0.48872408,-0.4562879,-0.0001769351,19.423122,16,965,305.11264,57.182194,10.83228
"2020-03-11T00:24:00Z","GE01",-0.48633173,-0.45401517,-0.021281177,19.183752,16,878.5,305.06613,57.166298,9.724257
"2020-03-11T00:25:00Z","GE01",-0.48393938,-0.45174244,-0.04238542,19.680449,16,1105,305.01965,57.150402,10.495991
"2020-03-11T00:26:00Z","GE01",-0.48154706,-0.4494697,-0.06348966,18.108139,16,631,304.97314,57.134506,8.704097
"2020-03-11T00:27:00Z","GE01",-0.4791547,-0.44719696,-0.08459391,18.230087,16,779,304.92667,57.11861,9.639395
"2020-03-11T00:28:00Z","GE01",-0.47676235,-0.44492424,-0.105698146,16.403402,16,554.7695,304.88016,57.102715,7.5916076
"2020-03-11T00:29:00Z","GE01",-0.47437,-0.4426515,-0.12680238,15.5169935,16,425.9091,304.83368,57.08682,8.137148
"2020-03-11T00:30:00Z","GE01",-0.47197768,-0.4403788,-0.14790663,16.453241,16,557.02563,304.7872,57.070923,8.51282
